,_id,similarity_scores
105,105,"[(105, 1.0), (296, 0.8169662), (856, 0.74368393), (926, 0.7391671), (370, 0.72688323), (24, 0.7252169), (268, 0.7231802), (737, 0.72143567), (840, 0.71576345), (84, 0.7141958)]"
106,106,"[(106, 0.9999999), (75, 0.8709775), (746, 0.8209531), (286, 0.80800843), (389, 0.8054303), (16, 0.8052565), (275, 0.8023767), (476, 0.7963637), (271, 0.78812945), (482, 0.78521514)]"
107,107,"[(107, 1.0), (906, 0.7567618), (449, 0.75492823), (718, 0.7498025), (674, 0.7408377), (169, 0.7383994), (687, 0.7377385), (33, 0.7368385), (280, 0.7366098), (348, 0.7364974)]"
108,108,"[(108, 1.0000002), (569, 0.8176373), (622, 0.8100809), (520, 0.79351604), (308, 0.78453696), (718, 0.7755901), (337, 0.76766706), (708, 0.7646998), (990, 0.76195896), (983, 0.7613733)]"
109,109,"[(109, 1.0000001), (29, 0.89887214), (477, 0.87281066), (16, 0.8455887), (839, 0.8042444), (493, 0.790154), (339, 0.77649367), (634, 0.77242994), (582, 0.76675975), (44, 0.75740206)]"
110,110,"[(110, 1.0000001), (364, 0.7233271), (272, 0.6960111), (544, 0.6797853), (678, 0.6672445), (509, 0.65166414), (104, 0.64984185), (315, 0.6484583), (968, 0.63733435), (845, 0.63611484)]"
111,111,"[(111, 1.0000001), (718, 0.8304472), (953, 0.82786834), (520, 0.8197092), (33, 0.81800723), (983, 0.8126406), (622, 0.8101519), (957, 0.80831444), (165, 0.8082744), (853, 0.8023626)]"
112,112,"[(112, 1.0000002), (510, 0.73923266), (357, 0.7292874), (8, 0.72128034), (36, 0.7187897), (326, 0.7147208), (339, 0.70858216), (320, 0.7029772), (768, 0.70114714), (308, 0.69976306)]"
113,113,"[(113, 0.9999996), (960, 0.81545234), (909, 0.7870375), (33, 0.7751893), (4, 0.7704455), (263, 0.76871437), (448, 0.76604617), (382, 0.7614536), (307, 0.7593162), (405, 0.75675756)]"
114,114,"[(114, 0.99999994), (66, 0.85358274), (21, 0.8410567), (329, 0.825865), (476, 0.8143983), (275, 0.7938341), (271, 0.7789766), (286, 0.7736992), (75, 0.77117455), (426, 0.7663442)]"
115,115,"[(115, 1.0), (177, 0.7654482), (12, 0.74730015), (659, 0.73862994), (424, 0.73686624), (774, 0.7343653), (436, 0.72208464), (527, 0.72121775), (723, 0.71062046), (543, 0.705899)]"
116,116,"[(116, 1.0000001), (352, 0.6939137), (233, 0.68335336), (527, 0.68297833), (893, 0.68136376), (102, 0.6796539), (84, 0.67943823), (573, 0.67506456), (776, 0.6719092), (737, 0.6660718)]"
117,117,"[(117, 0.9999999), (420, 0.78104717), (995, 0.76375675), (953, 0.73968136), (933, 0.73495686), (870, 0.7245964), (209, 0.7144222), (126, 0.7143547), (972, 0.70867836), (655, 0.70501053)]"
118,118,"[(118, 1.0000001), (999, 0.83053565), (963, 0.81517196), (335, 0.7948292), (569, 0.78841287), (953, 0.7882301), (931, 0.787464), (983, 0.7765384), (853, 0.77171206), (111, 0.7705736)]"
119,119,"[(119, 0.99999994), (255, 0.7907244), (768, 0.786864), (522, 0.7856908), (111, 0.77419007), (394, 0.7735057), (547, 0.77015173), (914, 0.76981854), (453, 0.76979554), (702, 0.768293)]"
120,120,"[(120, 0.99999994), (61, 0.6198541), (789, 0.6141254), (733, 0.5921998), (395, 0.5917399), (481, 0.5911337), (819, 0.58594465), (86, 0.5840149), (798, 0.5834843), (830, 0.5820546)]"
121,121,"[(121, 1.0), (907, 0.79270506), (76, 0.7859174), (804, 0.768672), (880, 0.7478683), (786, 0.7458471), (732, 0.739457), (670, 0.73741287), (580, 0.73644346), (989, 0.733202)]"
122,122,"[(122, 0.9999999), (926, 0.73345345), (708, 0.71359694), (888, 0.7125692), (423, 0.6999561), (267, 0.697372), (578, 0.69516397), (168, 0.69325095), (77, 0.6896647), (351, 0.6861476)]"
123,123,"[(123, 1.0), (444, 0.83273184), (607, 0.8119183), (601, 0.81081235), (187, 0.803065), (869, 0.800547), (526, 0.7996962), (980, 0.79798746), (437, 0.7926986), (547, 0.7916532)]"
124,124,"[(124, 1.0), (30, 0.7483506), (267, 0.7418817), (507, 0.7382839), (143, 0.73461473), (295, 0.73315644), (121, 0.7299442), (201, 0.7229672), (69, 0.72242475), (812, 0.72183025)]"
125,125,"[(125, 0.99999994), (977, 0.790799), (55, 0.782529), (416, 0.77374876), (103, 0.7648698), (263, 0.763796), (999, 0.762915), (853, 0.759035), (194, 0.75752974), (37, 0.75310063)]"
126,126,"[(126, 1.0), (83, 0.76190436), (800, 0.7591431), (307, 0.7460308), (529, 0.74277616), (749, 0.74026465), (50, 0.73957694), (111, 0.73032403), (32, 0.7293415), (933, 0.72716683)]"
127,127,"[(127, 0.9999999), (374, 0.69468457), (88, 0.6837583), (136, 0.6720906), (89, 0.6667097), (505, 0.66096914), (905, 0.6586397), (653, 0.6518715), (880, 0.64906585), (693, 0.6457913)]"
128,128,"[(128, 1.0000002), (64, 0.86948943), (495, 0.82596153), (726, 0.7909668), (354, 0.7685058), (225, 0.76625955), (50, 0.76388496), (926, 0.7619777), (670, 0.76112425), (724, 0.75084174)]"
